[22:54:15] 28800 frames at 1920x1080
[22:54:15] tile 224px (resized to 224 for the model), stride 112, 153 tiles/frame
[23:19:13]   4100/28800 frames, 2.7 fps, ~150.5 min left
[23:19:33] 004153.jpg tile=(0,448) offset=(-848, 20) repair-heal (out) (0.962)
[23:19:43] 004180.jpg tile=(0,448) offset=(-848, 20) full black (out) (0.905)
[23:19:45] 004186.jpg tile=(0,448) offset=(-848, 20) repair-heal (out) (0.907)
[23:19:47] 004191.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:47] 004192.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:48] 004193.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:48] 004194.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:49] 004195.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:49] 004195.jpg tile=(0,448) offset=(-848, 20) repair-heal (out) (0.955)
[23:19:49] 004196.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:49] 004197.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:50] 004198.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:50] 004199.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:50]   4200/28800 frames, 2.7 fps, ~149.9 min left
[23:19:51] 004200.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:51] 004201.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:51] 004202.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (0.999)
[23:19:52] 004203.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:52] 004204.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:53] 004205.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:53] 004206.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:54] 004207.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:54] 004208.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:54] 004209.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:20:27]   4300/28800 frames, 2.7 fps, ~149.3 min left
[23:21:03]   4400/28800 frames, 2.7 fps, ~148.6 min left
[23:21:39]   4500/28800 frames, 2.7 fps, ~148.0 min left
[23:22:15]   4600/28800 frames, 2.7 fps, ~147.3 min left
[23:22:51]   4700/28800 frames, 2.7 fps, ~146.6 min left
[23:23:27]   4800/28800 frames, 2.7 fps, ~146.0 min left
[23:24:03]   4900/28800 frames, 2.7 fps, ~145.3 min left
[23:24:25] 004960.jpg tile=(896,448) offset=(48, 20) full black (out) (0.982)
[23:24:25] 004961.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.975)
[23:24:25] 004962.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.968)
[23:24:26] 004963.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.973)
[23:24:26] 004964.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.949)
[23:24:27] 004965.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.912)
[23:24:28] 004969.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.923)
[23:24:28] 004970.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.944)
[23:24:29] 004971.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.951)
[23:24:29] 004972.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.923)
[23:24:30] 004973.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.965)
[23:24:30] 004974.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.976)
[23:24:31] 004975.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.987)
[23:24:31] 004976.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.996)
[23:24:31] 004977.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.996)
[23:24:32] 004978.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.989)
[23:24:32] 004979.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:24:33] 004980.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.998)
[23:24:33] 004981.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.997)
[23:24:33] 004982.jpg tile=(784,336) offset=(-64, -92) repair-heal (great) (0.986)
[23:24:40]   5000/28800 frames, 2.7 fps, ~144.8 min left
[23:25:16]   5100/28800 frames, 2.7 fps, ~144.1 min left
[23:25:52]   5200/28800 frames, 2.7 fps, ~143.5 min left
[23:26:28]   5300/28800 frames, 2.7 fps, ~142.8 min left
[23:27:03]   5400/28800 frames, 2.7 fps, ~142.2 min left
[23:27:39]   5500/28800 frames, 2.7 fps, ~141.5 min left
[23:28:15]   5600/28800 frames, 2.7 fps, ~140.9 min left
[23:28:51]   5700/28800 frames, 2.7 fps, ~140.2 min left
[23:29:26]   5800/28800 frames, 2.7 fps, ~139.6 min left
[23:30:02]   5900/28800 frames, 2.7 fps, ~138.9 min left
[23:30:38]   6000/28800 frames, 2.7 fps, ~138.3 min left
[23:31:14]   6100/28800 frames, 2.7 fps, ~137.6 min left
[23:31:49]   6200/28800 frames, 2.8 fps, ~137.0 min left
[23:32:25]   6300/28800 frames, 2.8 fps, ~136.3 min left
[23:33:01]   6400/28800 frames, 2.8 fps, ~135.7 min left
[23:33:36]   6500/28800 frames, 2.8 fps, ~135.0 min left
[23:34:12]   6600/28800 frames, 2.8 fps, ~134.4 min left
[23:34:40] 006679.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.994)
[23:34:41] 006680.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.997)
[23:34:41] 006681.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.990)
[23:34:42] 006682.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.994)
[23:34:42] 006683.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.988)
[23:34:42] 006684.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.988)
[23:34:43] 006685.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.991)
[23:34:43] 006686.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.989)
[23:34:44] 006687.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.987)
[23:34:44] 006688.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.969)
[23:34:44] 006689.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.981)
[23:34:45] 006690.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.976)
[23:34:45] 006691.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.986)
[23:34:46] 006692.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.987)
[23:34:46] 006693.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.981)
[23:34:46] 006694.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.993)
[23:34:47] 006695.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.995)
[23:34:47] 006696.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:34:48] 006697.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:34:48] 006698.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:34:49] 006699.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:34:49]   6700/28800 frames, 2.8 fps, ~133.8 min left
[23:34:49] 006700.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:34:49] 006701.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:34:50] 006702.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:34:50] 006703.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.997)
[23:34:51] 006704.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.997)
[23:34:51] 006705.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.996)
[23:34:51] 006706.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.997)
[23:34:52] 006707.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:34:52] 006708.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.999)
[23:35:25]   6800/28800 frames, 2.8 fps, ~133.2 min left
[23:35:49] 006867.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:49] 006868.jpg tile=(896,336) offset=(48, -92) repair-heal (out) (0.998)
[23:35:50] 006869.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.998)
[23:35:50] 006870.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:51] 006871.jpg tile=(896,336) offset=(48, -92) repair-heal (out) (0.998)
[23:35:51] 006872.jpg tile=(896,336) offset=(48, -92) repair-heal (out) (0.997)
[23:35:51] 006873.jpg tile=(896,336) offset=(48, -92) repair-heal (out) (0.999)
[23:35:52] 006874.jpg tile=(896,336) offset=(48, -92) repair-heal (out) (0.999)
[23:35:52] 006875.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.996)
[23:35:53] 006876.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.997)
[23:35:53] 006877.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:53] 006878.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.998)
[23:35:54] 006879.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:35:54] 006880.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:55] 006881.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:55] 006882.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:55] 006883.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:35:56] 006884.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:35:56] 006885.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:35:57] 006886.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:35:57] 006887.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:35:58] 006888.jpg tile=(784,336) offset=(-64, -92) repair-heal (ante-frontier) (0.996)
[23:35:58] 006889.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:35:58] 006890.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:35:59] 006891.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.999)
[23:35:59] 006892.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.999)
[23:36:00] 006893.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.999)
[23:36:00] 006894.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:36:00] 006895.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:36:01] 006896.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:36:01] 006897.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:36:02] 006898.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.998)
[23:36:02]   6900/28800 frames, 2.8 fps, ~132.6 min left
[23:36:38]   7000/28800 frames, 2.8 fps, ~132.0 min left
[23:36:58] 007055.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:36:58] 007056.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.997)
[23:36:59] 007057.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:36:59] 007058.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:36:59] 007059.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:37:00] 007060.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:37:00] 007061.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.996)
[23:37:01] 007062.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:01] 007063.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:37:01] 007064.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:02] 007065.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:02] 007066.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.998)
[23:37:03] 007067.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:37:03] 007068.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:37:03] 007069.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:37:04] 007070.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:37:04] 007071.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:37:05] 007073.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.997)
[23:37:05] 007074.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:06] 007075.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:37:06] 007076.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
